FIPS,STATE,NNC,NNR,NNN,NNA,NMC,NMR,NMN,NMA,CNC,CNR,CNN,CNA,CMC,CMR,CMN,CMA
1121,Alabama,-6.75918054,0,32.2027966,13.33246344,91.32406973,61.1645048,74.24336946,70.4400962,461.9777712,476.2129551,504.0267706,486.7430593,515.6427389,510.8347094,611.9567021,555.7552661
17001,Illinois,-56.74013346,0,70.46902801,33.54812828,88.67672907,126.3545761,154.8856904,139.0759623,325.5115925,353.7146259,442.1696507,398.3452848,463.2067812,491.4597892,574.1220823,533.0565632
17003,Illinois,-25.597776,0,53.827101,26.66474232,107.7627621,130.1574311,162.8557287,145.9544838,393.8280551,421.2466225,488.6268886,454.8961915,489.9153062,561.8312339,633.3070803,595.0172024
17005,Illinois,-35.64424554,0,62.24474966,30.48064865,268.5527775,306.666471,348.985883,326.5768401,349.8198653,369.1725591,435.8715933,402.9381637,604.3102953,645.8206221,787.0570765,717.2888391
17007,Illinois,-64.99299006,0,79.9789868,38.04063461,328.1529683,382.404379,413.2239286,395.3523136,119.5752029,198.7800227,292.8577621,243.3651166,491.6976846,534.3114263,626.1792604,579.8836398
17009,Illinois,-56.26275026,0,69.74171681,33.1955379,425.6064219,488.6784551,533.0450921,508.1980028,327.1101315,355.2017923,440.85791,398.3744901,712.0808087,786.5874808,897.8249788,840.4263597
17011,Illinois,-67.80088206,0,81.64837594,38.74963705,-9.4485256,33.95986988,104.2070936,68.17288403,174.8996773,215.2977036,321.5193993,268.5101448,247.1999837,283.1451127,362.3920563,322.5042717
17013,Illinois,-50.17962372,0,72.9881364,35.25051191,569.3299365,617.8679839,643.3675729,628.3670065,372.2910167,402.5942085,488.9875203,446.0230855,919.6404008,976.7649572,1125.006676,1050.983926
17015,Illinois,-73.23781714,0,80.46383407,37.81136107,125.6096721,181.6312668,210.6349399,193.5253789,76.27165773,143.3353325,262.1758056,201.5883438,305.8661015,338.0423227,385.5577259,361.0192169
17017,Illinois,-65.0736934,0,75.97734414,35.94210948,153.930664,209.1377508,247.6083783,226.0330125,286.2721806,336.0351851,425.4992479,379.9308756,505.1797133,549.5369008,634.6515901,591.4735087
17019,Illinois,-66.00932706,0,78.70996161,37.31710217,23.51077047,81.64937654,119.4011826,97.99680457,239.7451589,297.6959223,384.2838801,339.6071158,341.2712549,375.9394987,483.4871211,430.1813477
17021,Illinois,-66.808615,0,76.86977227,36.30743113,14.54385074,72.45329041,109.5601265,88.47667187,258.8674858,287.8379979,368.8334469,328.5205918,368.4108941,396.4214445,474.7652521,435.7728403
17023,Illinois,-49.26940594,0,68.50638952,32.95882547,171.5978694,215.3316892,248.1526737,229.9429392,319.2540451,344.6816429,421.6500461,383.4646828,514.4094291,547.7485025,673.866129,611.7846789
17025,Illinois,-34.3664298,0,56.4125502,27.50389177,162.1678993,192.6551927,225.2021637,207.8990194,350.3614787,367.8917335,427.3574105,397.9793498,512.471,535.4775879,701.9949305,621.2575443
17027,Illinois,-37.47370014,0,63.80760146,31.19122161,171.1541245,203.5859608,237.6237858,219.4959471,362.3962977,383.0133813,450.6988078,417.2210355,538.727922,566.4231669,713.3335391,641.6694284
17029,Illinois,-59.57769966,0,72.22240368,34.29933714,213.2881553,300.1503285,339.6670865,315.7386821,265.6339262,292.5816908,368.6770783,330.818891,526.4162137,608.0611091,703.4115541,653.1691927
17031,Illinois,-44.938926,0,71.5114072,34.78482379,155.7496442,188.4899677,275.6276257,232.165551,239.4887383,272.3958405,375.8615593,324.6050599,443.7878435,485.2978025,563.8412301,523.9628831
17033,Illinois,-41.1851074,0,61.08063108,29.54697106,342.4263701,390.1277292,432.779671,409.6504667,332.5936507,351.9317089,422.8110871,387.8854713,637.8292904,675.3865117,829.8791379,754.0223794
17035,Illinois,-50.91370386,0,67.30075654,32.23167757,318.5518172,375.5935163,421.5172636,396.2810406,303.6522186,324.4723777,397.9641725,361.7062287,627.9380038,667.3439647,813.7851146,741.658727
17037,Illinois,-67.9655256,0,80.9714422,38.3857975,85.23062114,147.6988915,177.6368429,159.7042193,101.1736284,181.9369015,269.2570107,222.8948793,291.7932349,319.3412031,403.4212242,361.721081
17039,Illinois,-67.06304954,0,81.05830226,38.48411058,-9.7582618,33.62711786,104.0820487,67.95015974,250.7349758,281.6144433,368.154787,325.0864956,312.9560079,356.7528169,438.5619222,396.9926546
17041,Illinois,-59.74858134,0,74.87066306,35.67498811,194.7835781,259.9545651,295.6108139,274.793585,255.5188807,288.4503494,365.1432608,326.6496835,485.1915822,572.6579709,638.666468,602.0723243
17043,Illinois,-51.071978,0,75.619781,36.57520731,147.6849103,183.4715001,274.4518392,228.9792639,197.073406,231.6128319,340.7511597,286.6945387,405.2455561,447.6732377,541.573062,494.3195577
17045,Illinois,-54.33748106,0,70.4750252,33.69200789,166.1213297,243.2285379,267.553358,251.4393673,251.838869,281.0275706,354.4428203,317.7311613,495.5604467,511.5467911,611.887343,563.111993
17047,Illinois,-34.5615078,0,59.7087062,29.21712729,469.1761865,525.2199265,565.7973781,543.1685422,375.4852223,395.1518631,459.6265844,427.7352401,788.9300766,948.867937,1016.926184,975.1095838
17049,Illinois,-48.22231714,0,66.7303332,32.09086741,213.9546523,260.3444003,301.2332473,279.0214568,309.8863485,330.325201,403.2029113,367.2600778,528.1656613,560.7860209,717.5102595,640.8787349
17051,Illinois,-43.1495654,0,62.73925088,30.29974497,91.79712901,142.1648178,167.7319551,152.592008,326.5759722,345.4495917,414.7089207,380.5828941,487.9865933,510.9258129,583.5695193,547.5917853
17053,Illinois,-63.10287654,0,75.57400906,35.8465164,109.3458651,171.4631058,211.0620263,188.5439489,241.5969663,282.8537621,371.0519045,326.5853528,426.2352207,463.3757489,513.8518087,487.6109637
17055,Illinois,-26.39698646,0,51.31248594,25.30219298,169.6740569,193.2983234,219.3721963,205.5572213,387.6804378,406.8033017,468.1948069,437.8052866,546.5901209,568.9948795,712.9052989,642.9813661
17057,Illinois,-61.17847494,0,76.3672744,36.37430711,99.73210747,153.3942948,250.0036941,200.8002674,265.5384601,314.5877766,403.3591639,358.1628415,491.638229,525.5591353,593.3776571,559.0571233
17059,Illinois,-36.55416914,0,61.30372306,29.93496985,119.37356,156.8980945,178.1428657,165.8159948,375.4828897,399.7429744,467.7585402,433.9099706,520.5743656,562.6301191,637.0012151,599.0801203
17061,Illinois,-55.69102174,0,75.4385934,36.20983109,207.1694574,251.7362572,276.1225461,261.885389,325.821499,352.6862893,435.1332473,394.251711,578.7567025,614.6799564,692.9990313,653.5549038
17063,Illinois,-62.13364426,0,76.0286994,36.14120142,217.021338,283.940566,310.2132489,293.7673722,211.6639561,239.2084767,325.9216577,282.9663168,478.6664218,489.5672188,603.5659787,548.5767664
17065,Illinois,-32.84391934,0,55.50892746,27.12027018,231.1401677,267.2435547,297.5692254,280.9961429,376.7656629,397.4795163,460.6843279,429.3370894,609.7240295,712.3374306,775.70825,739.4843839
17067,Illinois,-62.61171194,0,74.80681593,35.4738657,96.56621466,152.4159862,248.7188763,199.5334391,296.9425863,329.8626715,419.6833052,374.9315504,511.6289819,546.1600869,642.0408447,594.3054624
17069,Illinois,-18.2359612,0,48.2050024,24.15430368,130.8816694,164.5585124,209.7000516,186.2054161,450.2380134,471.4354265,524.082016,497.7402472,630.5427672,656.6784654,771.0402401,714.9855306
17071,Illinois,-65.46867714,0,79.63468474,37.83261925,82.34598254,141.3982363,172.1646439,154.0371432,254.4101631,308.7549245,399.7151016,353.1650452,409.2768404,436.4993023,522.9981897,480.163882
17073,Illinois,-65.97423066,0,79.8802768,37.93150738,90.8326574,151.1095779,181.687168,163.5779509,190.9595466,231.4340909,339.4103084,285.5600763,356.5927197,381.967279,439.9271593,410.8075098
17075,Illinois,-62.77980988,0,75.35578072,35.75125627,43.78351686,100.2278935,133.1965805,114.1718723,228.1178168,276.2640885,365.0130935,319.8803404,341.9262166,375.8197586,474.2540019,425.3385529
17077,Illinois,-27.206984,0,55.8825154,27.64594257,162.7715579,183.866873,203.4194914,192.8617651,392.4933453,416.5527528,484.0042183,450.4363474,553.1768697,631.1860699,702.7132067,664.0419459
17079,Illinois,-43.8714388,0,62.550966,30.15894219,124.9885533,163.5168442,196.1795557,178.3502078,313.0261391,331.3804729,398.6472293,365.501611,457.4076235,484.6862687,632.4611257,560.409262
17081,Illinois,-27.76345426,0,54.3072888,26.78913288,141.3505058,166.7074085,189.7836684,177.2963579,393.7388157,411.2081087,473.4553048,442.754683,533.6498165,617.4225707,690.4805488,650.7418204
17083,Illinois,-52.91984794,0,73.58587566,35.40275392,207.3713471,278.4464493,302.3957363,286.8141333,344.0634294,368.7456876,450.9194153,410.2959934,616.5917528,656.0198027,741.8903497,698.6406387
17085,Illinois,-68.41352872,0,76.13761394,35.83032856,146.3275099,195.4341019,224.1772248,207.5969496,75.81886108,137.1696935,252.331972,193.832791,315.9917407,344.5833356,392.7105019,368.0903044
17087,Illinois,-22.594547,0,50.42336287,25.05971093,380.6792448,361.5383053,249.3665717,303.967409,424.2911399,447.4767517,491.0423198,468.9136043,756.1891137,708.0056405,752.0408873,733.8688766
17089,Illinois,-62.1712096,0,79.76395006,38.09341315,323.3569644,390.945088,432.9915002,408.9860721,101.1383612,178.8249201,267.9475045,220.9062418,474.0270407,522.1168021,611.6508759,566.1471394
17091,Illinois,-53.37695373,0,71.8835462,34.48526016,172.4986094,213.1575897,247.7611318,228.8816522,190.9931726,229.48492,307.0430723,267.8112702,402.2425045,424.1463558,516.6806888,471.2804407
17093,Illinois,-61.1450754,0,78.24282354,37.35761569,353.9478751,410.9633561,455.5491339,430.9523443,187.2690004,234.3681646,324.9513697,279.0054704,551.3795555,601.0334115,671.5513991,635.0222544
17095,Illinois,-65.7723302,0,80.85363932,38.45263113,68.77956146,129.3745339,158.4740884,141.0509168,198.4854816,252.797931,339.7770411,295.1269127,342.0105081,371.669658,439.6828013,405.5191222
17097,Illinois,-35.7273312,0,66.62687066,32.76865882,193.4064187,226.4509533,311.8351182,269.1912285,187.3246784,212.0234481,295.7578863,254.3894043,441.1397946,482.1502773,566.1791737,523.7148028
17099,Illinois,-65.45437274,0,80.04613612,38.04874275,1.21208152,72.68478952,114.2279446,90.23490236,186.5239718,234.3924876,322.1894626,277.5268748,263.6392573,311.7419864,395.1669446,352.5750637
