FIPS,STATE,NNC,NNR,NNN,NNA,NMC,NMR,NMN,NMA,CNC,CNR,CNN,CNA,CMC,CMR,CMN,CMA
17031,Illinois,-59.63,0.00,75.95,-12.29,165.42,233.32,315.73,218.97,310.69,467.71,621.56,431.36,525.71,710.46,841.96,663.43
17033,Illinois,-55.31,0.00,72.43,-11.23,435.52,485.17,551.17,475.18,433.11,581.50,692.19,544.16,917.00,1008.67,1123.18,989.59
17035,Illinois,-60.14,0.00,81.44,-11.97,446.46,498.40,594.55,490.28,492.11,638.35,761.53,602.77,925.46,1020.52,1192.05,1005.29
17037,Illinois,-78.41,0.00,95.56,-16.53,87.41,171.65,273.90,153.86,131.10,323.70,509.42,278.87,288.78,500.43,688.12,449.74
17039,Illinois,-73.28,0.00,91.98,-15.22,-7.30,68.91,163.52,52.99,292.82,497.62,651.17,446.15,356.40,572.04,724.21,517.03
17041,Illinois,-71.58,0.00,94.34,-14.48,278.18,369.20,478.67,349.88,437.00,616.93,762.67,572.65,789.85,944.43,1089.76,908.12
17043,Illinois,-64.75,0.00,81.80,-13.40,160.58,234.21,323.73,218.67,245.55,408.33,572.65,371.07,452.94,643.10,800.25,596.57
17045,Illinois,-66.27,0.00,87.70,-13.37,236.83,319.53,421.00,302.15,436.06,597.42,734.39,558.25,748.67,892.33,1016.87,857.68
17047,Illinois,-52.87,0.00,69.70,-10.69,682.62,728.72,779.02,718.49,488.17,635.61,737.04,597.77,1019.80,1139.02,1295.32,1114.84
17049,Illinois,-58.76,0.00,79.27,-11.73,275.08,351.16,439.72,334.76,484.94,629.53,756.46,594.80,845.58,960.94,961.31,924.51
17051,Illinois,-55.60,0.00,73.57,-11.22,113.86,176.38,257.21,163.60,487.29,626.63,742.65,592.61,642.74,802.03,907.78,760.82
17053,Illinois,-67.35,0.00,83.90,-14.04,113.07,187.49,279.42,171.91,300.47,486.83,625.36,439.89,505.81,703.36,836.75,652.44
17055,Illinois,-45.93,0.00,61.47,-9.21,205.47,256.96,324.36,246.51,492.91,624.81,729.17,592.14,771.43,864.85,963.76,843.86
17057,Illinois,-68.76,0.00,87.48,-14.18,147.17,224.51,319.26,208.25,341.82,542.70,682.31,491.27,558.08,786.57,939.60,727.57
17059,Illinois,-55.12,0.00,73.38,-11.09,156.31,215.88,291.29,203.57,500.61,670.68,785.55,626.85,743.98,852.49,974.18,828.70
17061,Illinois,-71.22,0.00,93.72,-14.42,285.71,365.85,462.24,348.85,508.80,689.60,822.72,643.95,870.89,995.40,1129.20,967.60
17063,Illinois,-68.58,0.00,85.42,-14.30,281.23,360.90,457.93,344.10,239.05,421.62,577.55,377.39,604.43,752.61,944.60,722.36
17065,Illinois,-49.60,0.00,66.02,-9.98,356.62,407.84,469.59,396.98,499.03,644.18,738.92,606.49,881.21,974.04,1102.42,955.78
17067,Illinois,-66.31,0.00,84.08,-13.70,148.39,222.37,313.15,206.83,381.77,575.40,705.12,525.41,621.17,803.98,963.52,759.98
17069,Illinois,-39.60,0.00,53.34,-7.91,182.12,223.66,280.41,215.43,547.51,713.81,799.51,668.65,768.35,821.50,947.60,815.59
17071,Illinois,-72.57,0.00,91.05,-15.07,95.63,172.78,269.18,156.72,328.48,536.28,680.86,483.09,495.01,730.43,880.22,668.96
17073,Illinois,-75.02,0.00,92.86,-15.69,110.35,191.39,290.93,174.37,236.95,437.13,599.12,387.85,451.92,644.72,801.90,597.36
17075,Illinois,-68.20,0.00,84.72,-14.24,64.53,135.37,221.91,120.45,287.87,476.03,616.28,428.67,413.83,630.45,746.62,572.02
17077,Illinois,-50.03,0.00,67.31,-10.00,222.17,273.58,341.67,263.21,508.11,654.55,763.43,617.67,773.56,894.95,998.70,865.54
17079,Illinois,-54.27,0.00,74.36,-10.73,143.15,210.61,296.71,196.73,399.17,544.61,669.06,509.39,601.97,773.95,875.79,728.39
17081,Illinois,-47.39,0.00,63.37,-9.51,195.14,244.56,238.93,228.46,500.56,627.86,729.34,596.39,707.41,810.45,871.24,783.14
17083,Illinois,-68.36,0.00,90.75,-13.77,316.03,393.43,487.76,377.11,546.11,722.44,847.69,677.53,936.66,1041.73,1180.47,1020.50
17085,Illinois,-76.51,0.00,92.08,-16.23,197.58,279.82,373.78,261.94,122.33,303.72,471.46,260.87,378.51,585.37,759.61,535.04
17087,Illinois,-46.55,0.00,55.53,-9.92,276.99,299.78,370.88,298.71,518.70,689.61,761.15,641.77,1017.42,1123.53,987.33,1078.24
17089,Illinois,-73.64,0.00,90.68,-15.45,318.09,408.93,529.01,390.59,143.16,321.30,505.36,280.89,544.55,691.21,913.75,664.07
17091,Illinois,-61.01,0.00,77.55,-12.59,177.43,255.25,351.34,238.95,240.20,390.85,547.83,356.79,516.51,666.03,816.88,631.80
17093,Illinois,-70.85,0.00,87.45,-14.84,421.06,487.29,596.61,475.80,218.74,404.01,568.69,359.67,657.90,803.12,1013.51,775.39
17095,Illinois,-75.13,0.00,94.11,-15.62,65.04,145.54,244.89,128.68,254.59,457.97,619.53,407.64,388.93,612.65,777.03,556.14
17097,Illinois,-59.04,0.00,75.78,-12.12,197.55,265.17,223.99,240.24,248.68,398.50,550.97,364.31,485.64,509.90,671.53,516.18
17099,Illinois,-72.67,0.00,90.38,-15.16,22.28,97.56,190.26,81.77,216.03,405.16,574.87,360.04,307.33,506.28,673.06,457.80
17101,Illinois,-48.68,0.00,67.82,-9.53,283.19,352.90,427.08,337.28,412.31,553.70,666.48,518.76,800.47,889.03,1013.00,871.74
17103,Illinois,-73.60,0.00,90.55,-15.44,15.24,91.53,184.14,75.42,161.16,344.46,515.49,301.30,244.46,438.84,609.96,392.18
17105,Illinois,-70.37,0.00,87.43,-14.69,31.54,105.75,197.04,90.18,272.69,461.87,615.32,415.33,370.64,572.10,731.05,522.16
17107,Illinois,-71.31,0.00,90.87,-14.69,73.58,151.71,248.89,135.41,336.15,537.32,688.03,486.75,513.07,688.71,850.18,647.14
17109,Illinois,-69.43,0.00,87.36,-14.40,64.16,137.44,228.05,122.10,329.36,528.43,668.14,477.58,489.68,671.42,814.89,626.37
17111,Illinois,-70.75,0.00,88.00,-14.76,272.10,354.79,453.73,337.20,146.17,318.33,498.22,279.45,496.84,667.14,850.09,629.11
17113,Illinois,-76.48,0.00,95.30,-15.94,7.63,87.68,186.27,70.89,280.85,489.73,655.09,438.00,361.47,579.60,748.47,525.24
17115,Illinois,-75.17,0.00,95.44,-15.52,59.77,139.36,238.76,122.79,332.40,534.91,692.68,484.53,501.72,699.43,836.22,648.76
17117,Illinois,-69.66,0.00,93.25,-13.96,35.05,108.56,203.41,93.52,514.09,692.63,823.31,647.49,605.32,815.13,925.13,758.32
17119,Illinois,-60.59,0.00,81.06,-12.15,212.30,278.49,361.33,264.72,547.19,715.01,829.85,671.89,852.58,958.49,1074.21,935.01
17121,Illinois,-51.97,0.00,68.83,-10.48,317.33,377.02,460.94,365.40,434.39,574.94,689.91,540.44,817.55,904.97,1042.13,889.18
17123,Illinois,-72.80,0.00,91.15,-15.14,125.54,206.81,306.18,189.70,254.66,451.97,615.29,403.71,481.06,679.98,830.67,630.13
17125,Illinois,-61.71,0.00,80.40,-12.56,84.90,154.57,247.25,140.55,342.20,510.08,661.08,470.06,482.64,691.80,835.11,638.07
17127,Illinois,-43.18,0.00,58.37,-8.61,645.75,594.64,671.00,617.38,533.95,681.06,784.99,643.54,1075.17,1178.21,1302.52,1156.37
17129,Illinois,-71.36,0.00,90.94,-14.70,255.38,336.49,434.92,319.36,378.70,578.57,723.85,527.95,701.88,854.67,1001.07,819.02
17131,Illinois,-74.23,0.00,92.87,-15.44,100.36,180.24,279.69,163.58,304.74,515.69,667.97,462.17,483.62,730.03,873.37,664.53
17133,Illinois,-52.39,0.00,70.01,-10.51,304.17,365.81,441.91,352.90,482.16,638.30,750.57,598.64,844.44,934.21,1080.81,918.50
17135,Illinois,-65.81,0.00,90.96,-12.95,73.94,148.49,244.92,133.25,482.64,648.56,788.96,608.25,605.30,814.61,931.67,758.57
17137,Illinois,-71.95,0.00,91.44,-14.84,89.00,166.07,262.60,150.05,372.70,574.22,724.83,523.54,562.88,759.72,894.74,709.17
17139,Illinois,-72.04,0.00,92.02,-14.82,258.95,346.91,454.11,328.36,353.55,546.71,699.19,498.82,707.69,868.82,1021.96,831.12
17141,Illinois,-78.40,0.00,94.84,-16.59,62.15,142.60,239.28,125.52,141.16,334.50,514.98,288.98,272.76,480.31,655.97,429.88
17143,Illinois,-77.75,0.00,97.82,-16.13,101.60,184.38,287.86,167.15,268.95,487.67,657.54,433.21,439.75,679.78,864.97,619.91
17145,Illinois,-45.80,0.00,61.81,-9.14,225.99,270.00,290.49,257.86,508.43,643.18,746.89,609.55,763.10,899.67,930.12,859.14
17147,Illinois,-75.35,0.00,94.51,-15.65,165.99,252.07,356.46,233.87,308.37,517.10,675.45,464.81,585.49,777.57,916.68,728.87
17149,Illinois,-63.80,0.00,82.58,-13.03,13.96,80.09,164.56,66.48,432.45,617.24,741.44,569.56,505.16,719.76,831.80,661.61
17151,Illinois,-39.33,0.00,54.22,-7.75,730.68,571.96,560.73,621.15,546.18,676.77,792.28,645.47,1277.66,1262.37,1301.17,1270.55
17153,Illinois,-48.22,0.00,65.07,-9.62,363.75,414.42,494.04,405.28,526.13,683.55,793.74,643.32,891.75,1032.93,1154.09,998.77
17155,Illinois,-76.61,0.00,95.37,-15.98,139.74,227.06,331.96,208.52,250.18,455.81,628.03,405.69,464.62,695.58,889.98,639.37
17157,Illinois,-49.34,0.00,66.65,-9.84,248.64,299.23,365.47,288.96,513.98,659.29,765.21,622.51,816.32,911.91,1017.12,890.79
17159,Illinois,-48.60,0.00,64.17,-9.82,322.40,377.90,443.26,366.00,446.35,579.35,683.39,546.30,843.63,917.40,1039.19,904.60
17161,Illinois,-76.92,0.00,95.85,-16.04,336.74,424.57,544.80,407.19,276.86,490.16,651.56,436.68,704.41,889.04,1075.92,846.82
17163,Illinois,-57.12,0.00,76.59,-11.44,336.07,397.46,475.39,384.79,564.24,726.36,842.18,685.12,945.86,1043.17,1177.46,1024.01
17165,Illinois,-51.44,0.00,68.87,-10.31,362.66,414.21,489.33,404.40,513.61,665.07,771.98,626.43,913.33,1017.82,1121.34,993.74
17167,Illinois,-71.59,0.00,94.15,-14.50,29.46,106.42,203.08,90.44,355.09,552.50,706.42,503.40,490.39,649.16,815.13,613.31
17169,Illinois,-62.89,0.00,80.14,-12.96,33.60,99.10,181.31,85.50,402.76,589.54,711.86,541.07,495.01,711.11,823.29,652.50
17171,Illinois,-69.12,0.00,88.71,-14.19,243.31,320.49,414.46,304.21,431.72,632.77,769.16,581.01,763.98,936.56,1101.30,896.24
